detector,dataset,granularity,strategy,alpha,ucb_method,delta,mean_test_risk,mean_test_coverage,target_met_rate,mean_guarantee_margin
mock,toy_det,coarse,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
mock,toy_det,coarse,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,hierarchy,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
mock,toy_det,fine,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,fine,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
mock,toy_det,fine,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,fine,hierarchy,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
mock,toy_det,mixed,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
mock,toy_det,mixed,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,hierarchy,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
mock,toy_det,standard,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,standard,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
mock,toy_det,standard,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9
mock,toy_det,standard,hierarchy,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8
